category,cost,leads
social,6.9842,3
jkl,16.7131,4
search,0.3202,0
jkl,0.3609,0
influencer,0.3694,0
media,34169.9,84
social,0.1559,0
search,0.0198,0
search,0.7523,0
social,10.185,2
influencer,0.1107,0
jkl,0.0047,0
influencer,1.9613,0
search,3.2025,2
social,0.0095,0
search,62.7731,5
search,0.0775,0
social,0.2081,0
media,145201.0,336
,0.016,0
jkl,2.0465,0
social,0.4606,0
jkl,0.0038,0
influencer,0.776,0
social,211.9296,23
jkl,0.0008,0
search,0.085,0
search,12.666,2
jkl,0.3726,0
influencer,0.0146,0
jkl,28.4897,10
jkl,0.0055,0
jkl,0.0171,0
search,0.7253,0
influencer,0.0002,0
influencer,0.013,0
jkl,0.5063,0
social,0.5765,0
search,0.0164,0
jkl,0.1659,0
social,3.7935,0
search,0.4138,0
jkl,0.0873,0
social,1.6746,2
search,3.1232,0
influencer,0.014,0
social,105681.0,144
social,116.7558,21
jkl,1.257,0
influencer,68.9107,44
search,1.9204,1
search,0.0387,0
social,1.636,2
search,0.018,0
search,1.0042,1
influencer,0.0107,0
influencer,25.5392,3
search,0.5252,0
jkl,0.2423,0
social,0.5277,0
search,2.4032,0
jkl,0.0015,0
jkl,0.0171,0
search,0.0008,0
social,3.0329,0
social,0.0009,0
influencer,9.1076,8
social,10.0393,2
jkl,0.0013,0
social,2152.37,6
jkl,0.0046,0
social,2.9475,4
search,0.0477,0
search,0.254,0
search,23.0823,3
,0.0024,0
media,750361.0,1678
jkl,0.0133,0
influencer,80971.4,133
search,0.067,0
jkl,2.6634,1
influencer,9.2522,3
social,0.6084,0
search,0.0263,0
jkl,0.1271,0
jkl,0.0179,0
social,0.3279,0
social,0.5611,0
social,0.411,0
social,8.1757,2
search,0.5337,0
influencer,0.0075,0
influencer,0.002,0
social,0.6912,0
,0.0008,0
social,0.1238,0
,0.0136,0
jkl,15.7699,6
search,0.5143,0
jkl,0.0067,0
social,39.5176,7
search,0.2658,0
influencer,0.1037,0
jkl,0.0682,0
jkl,0.0061,0
jkl,0.0094,0
jkl,0.0829,0
social,0.0007,0
jkl,0.0397,0
social,0.0731,0
jkl,0.1866,0
search,0.0897,0
influencer,0.313,0
influencer,0.0731,0
jkl,0.0059,0
social,0.0308,0
social,8.061,1
search,0.0043,0
social,0.0337,0
jkl,0.0151,0
jkl,0.0225,0
jkl,0.1361,0
jkl,0.0076,0
jkl,0.5069,0
social,46.0516,47
social,2.8484,1
social,0.0303,0
search,0.6986,1
social,0.0011,0
jkl,0.0015,0
jkl,0.0058,0
jkl,0.3655,0
jkl,0.054,0
search,0.1426,0
search,1.0586,0
search,0.0141,0
search,1.104,0
search,0.1626,0
social,0.0027,0
search,0.121,0
search,0.0001,0
search,0.0098,0
social,6.6698,1
search,0.0123,0
search,0.2808,0
,0.0026,0
jkl,0.0036,0
jkl,0.0042,0
social,0.0113,0
social,2.9648,5
influencer,1.1896,0
social,1.3124,3
social,94.4203,17
influencer,2.9469,1
jkl,2.2202,0
search,0.2305,0
jkl,0.0113,0
social,0.4572,1
social,221.0251,24
search,0.1226,0
social,16.1451,3
jkl,0.005,0
jkl,0.2366,0
jkl,0.405,0
search,1.3206,1
search,63.8312,6
social,0.0475,0
influencer,0.0043,0
search,1.5896,1
social,0.0149,0
jkl,0.009,0
search,0.2634,0
jkl,0.1057,0
search,0.0462,0
social,384.4477,41
search,0.0197,0
jkl,6.5848,2
influencer,7.1757,1
search,0.2824,0
influencer,1.7851,2
social,0.8535,0
search,0.7207,0
search,0.0061,0
influencer,0.8861,0
social,0.1676,0
social,0.5038,0
influencer,0.172,0
social,97.8815,11
influencer,0.0232,0
,0.0034,0
social,4.5431,0
social,209.7177,24
social,0.7718,0
social,0.0175,0
jkl,0.7338,0
influencer,6.9824,2
