category,cost,clicks,leads,orders,revenue
social,7307.37,1210,13,1,4981.0
social,16300.2,1640,48,3,14962.0
search,5221.6,457,9,1,7981.0
search,6037.0,1196,24,1,2114.0
influencer,29962.2,2258,49,10,84490.0
social,9540.01,1342,27,3,17943.0
social,3648.9,2556,94,1,1981.0
social,1293.55,148,3,1,4981.0
social,16997.8,596,14,2,4162.0
influencer,23604.1,1498,49,7,39081.0
media,931.99,2090,3,0,0.0
social,18385.3,2391,48,4,17812.0
social,2198.05,3294,10,0,0.0
search,11446.7,907,18,3,23943.0
search,15153.6,2395,39,4,12540.0
influencer,42301.1,4492,85,17,149141.0
social,29081.1,2701,54,9,45585.0
social,1421.34,5104,14,0,0.0
social,169.75,301,0,0,0.0
social,8829.07,1196,7,1,1129.0
influencer,13919.1,2996,19,3,14466.0
media,46159.8,4200,92,13,51753.0
social,65284.4,7197,115,13,72527.0
social,78958.3,9898,226,12,59772.0
search,77345.5,2698,84,16,115856.0
search,49498.9,7207,144,13,38753.0
influencer,189341.0,13503,455,91,772499.0
social,62509.8,8093,166,15,84600.0
social,94399.9,15298,592,36,104184.0
social,5039.51,896,18,4,23560.0
social,76716.4,3595,72,9,5607.0
influencer,194336.0,8996,342,51,254031.0
media,29378.3,12591,68,13,51753.0
social,173914.0,9601,192,31,154411.0
social,115389.0,13206,143,17,82909.0
search,41269.6,3599,55,9,68589.0
search,60108.8,9591,234,17,58990.0
influencer,185263.0,17993,445,89,624958.0
social,104028.0,10794,238,27,179037.0
social,40119.2,20392,408,12,23772.0
social,885.75,1194,4,1,5287.0
social,120335.0,4807,71,13,6864.0
influencer,149279.0,11993,267,38,224542.0
media,177746.0,16806,336,60,204540.0
social,90691.7,11997,143,17,84677.0
social,261047.0,16498,330,42,209202.0
search,96930.6,4504,151,23,177882.0
search,56875.2,11993,139,14,49644.0
influencer,442617.0,22507,731,146,1165230.0
social,258306.0,13498,526,76,454556.0
social,13588.8,25503,765,4,7924.0
social,6790.74,1505,30,5,27060.0
social,192789.0,6004,120,21,9492.0
influencer,36431.7,15003,51,8,47816.0
media,427922.0,20997,796,119,471240.0
social,40407.9,2391,76,9,46152.0
social,62272.6,3302,108,9,44829.0
search,6768.87,899,13,1,8136.0
search,22542.0,2392,48,6,13152.0
influencer,80971.4,4508,133,27,215487.0
social,3661.53,2695,14,1,5958.0
social,12183.4,5092,102,5,12295.0
social,1420.15,306,6,1,5492.0
social,29281.0,1197,24,4,6428.0
influencer,8289.21,3007,20,2,9450.0
media,38185.2,4207,84,10,48820.0
social,27314.4,2390,45,5,24905.0
social,38485.6,3295,66,5,23735.0
search,6426.0,893,18,2,14152.0
search,18102.1,2404,48,5,17845.0
influencer,31680.1,4505,82,15,119715.0
social,37965.9,2696,100,11,65791.0
social,6747.94,5103,199,2,3962.0
social,3435.44,294,6,1,4981.0
social,10104.9,1197,6,1,981.0
influencer,46167.6,3007,93,12,68076.0
media,79987.7,4203,142,27,90504.0
social,27210.4,2395,36,5,22345.0
social,33752.8,3290,66,5,28670.0
search,6918.85,904,20,2,16240.0
search,16567.5,2390,48,5,16995.0
influencer,33892.6,4491,79,16,120176.0
social,330.76,2690,1,0,0.0
social,2057.3,5100,102,1,1981.0
social,4336.04,302,10,2,10036.0
social,40099.0,1202,24,5,4905.0
influencer,31154.3,2991,60,9,45027.0
media,31883.9,4197,84,10,42280.0
social,49036.5,2393,68,9,42813.0
social,62119.4,3303,96,11,54791.0
search,3095.21,898,5,1,7998.0
search,20299.3,2393,48,5,14905.0
influencer,27833.0,4495,90,18,143658.0
social,10317.0,2701,19,3,19800.0
social,7398.26,5110,102,3,5943.0
social,2152.37,290,6,1,4353.0
social,29091.4,1198,24,3,2943.0
influencer,57642.4,3006,99,15,89460.0
media,44731.7,4190,84,13,51259.0
social,43386.4,4809,96,8,42400.0
social,43865.9,6596,132,7,34867.0
search,51883.1,1797,57,11,86724.0
search,67577.8,4797,154,19,42598.0
influencer,19831.4,8998,80,16,130768.0
social,38890.3,5406,186,14,83734.0
social,14147.9,10200,395,4,7924.0
social,12713.0,599,22,5,27065.0
social,131236.0,2396,88,15,14715.0
influencer,126901.0,6005,187,34,143888.0
media,179519.0,8391,302,60,196680.0
social,105681.0,7206,144,23,105225.0
social,188516.0,9895,304,28,131068.0
search,26220.4,2692,54,6,48990.0
search,51422.5,7198,144,14,41986.0
influencer,197161.0,13506,474,95,831820.0
social,348.99,8106,1,0,0.0
social,4138.73,15291,114,1,2771.0
social,17711.1,893,27,6,29886.0
social,6171.15,3595,5,1,677.0
influencer,128751.0,9004,227,29,143869.0
media,193124.0,12602,482,57,226917.0
social,110004.0,9607,192,23,96163.0
social,191722.0,13196,325,32,176512.0
search,59745.3,3602,72,14,122710.0
search,86733.1,9605,192,19,56639.0
influencer,121652.0,17994,378,61,486841.0
social,26659.9,10806,115,9,53523.0
social,49060.3,20391,408,15,29715.0
social,11278.3,1207,34,8,39848.0
social,44580.9,4800,33,5,6945.0
influencer,308572.0,12003,412,79,393499.0
media,145201.0,16808,336,49,195069.0
social,308692.0,11990,397,60,341880.0
social,325444.0,16506,655,52,262184.0
search,61588.1,4507,100,17,152660.0
search,216562.0,12010,378,56,123088.0
influencer,205045.0,22509,790,158,1296550.0
social,88844.8,13491,219,26,176384.0
social,16656.8,25503,510,6,10134.0
social,8367.08,1510,19,4,18828.0
social,171332.0,6006,128,19,24035.0
influencer,32770.1,14992,50,8,43976.0
media,390105.0,20993,734,118,353174.0
social,60244.9,14406,110,14,63560.0
social,197948.0,19797,396,30,149430.0
search,56440.3,5409,90,11,84183.0
search,196998.0,14390,498,48,101280.0
influencer,231751.0,26993,540,85,733550.0
social,312844.0,16197,604,72,377352.0
social,218228.0,30602,935,54,119718.0
social,4764.34,1790,10,2,10902.0
social,170719.0,7205,142,21,14280.0
influencer,205870.0,17998,354,53,306817.0
media,225274.0,25190,504,76,236056.0
social,168064.0,16809,247,30,149430.0
social,593576.0,23103,694,81,403461.0
search,82930.7,6307,126,19,138073.0
search,124854.0,16798,336,31,92411.0
influencer,151480.0,31504,630,98,782138.0
social,136269.0,18901,378,45,269145.0
social,37098.6,35692,916,11,21791.0
social,14609.5,2099,28,5,24905.0
social,6587.76,8402,4,1,741.0
influencer,82452.0,21007,122,24,103392.0
media,543275.0,29390,1061,171,809685.0
social,393027.0,19195,384,64,336448.0
social,595176.0,26400,923,80,392160.0
search,102053.0,7198,144,22,185482.0
search,271906.0,19207,666,67,199727.0
influencer,221258.0,35999,720,128,1021570.0
social,143680.0,21596,432,34,171972.0
social,103731.0,40794,816,24,41424.0
social,31712.0,2407,48,12,59772.0
social,345629.0,9597,292,39,25857.0
influencer,620903.0,23994,833,160,939360.0
media,206424.0,33592,416,62,246822.0
social,489831.0,21603,652,86,428366.0
social,403691.0,29704,594,61,303841.0
search,116213.0,8104,162,31,227726.0
search,180223.0,21596,442,44,136708.0
