category,cost,clicks,leads,orders,revenue
social,6.9842,135,3,14,920.3475
jkl,16.7131,188,5,112,5330.8525
search,0.3202,16,0,0,0.0
jkl,0.3609,9,0,0,0.0
influencer,0.3694,0,0,0,0.0
media,34169.9,4205,84,16,63696.0
social,0.1559,4,0,0,0.0
search,0.0198,0,0,0,0.0
search,0.7523,4,0,0,0.0
social,10.185,97,2,53,3354.8111
influencer,0.1107,1,0,0,0.0
jkl,0.0047,0,0,0,0.0
influencer,1.9613,21,0,0,0.0
search,3.2025,89,2,2,404.4366
social,0.0095,0,0,0,0.0
search,62.7731,232,5,88,4162.6197
search,0.0775,1,0,0,0.0
social,0.2081,4,0,0,0.0
media,145201.0,16808,336,49,195069.0
,0.016,0,0,0,0.0
jkl,2.0465,14,0,1,63.9354
social,0.4606,3,0,2,128.0795
jkl,0.0038,0,0,0,0.0
influencer,0.776,3,0,0,0.0
social,211.9296,863,22,341,16059.458
jkl,0.0008,0,0,0,0.0
search,0.085,3,0,0,0.0
search,12.666,99,2,105,4328.1868
jkl,0.3726,3,0,0,0.0
influencer,0.0146,1,0,0,0.0
jkl,28.4897,449,12,244,13299.3574
jkl,0.0055,0,0,0,0.0
jkl,0.0171,0,0,0,0.0
search,0.7253,21,0,0,0.0
influencer,0.0002,0,0,0,0.0
influencer,0.013,0,0,0,0.0
jkl,0.5063,14,0,0,0.0
social,0.5765,9,0,0,0.0
search,0.0164,0,0,0,0.0
jkl,0.1659,2,0,0,0.0
social,3.7935,35,0,2,56.9705
search,0.4138,0,0,0,0.0
jkl,0.0873,7,0,0,0.0
social,1.6746,95,2,0,0.0
search,3.1232,26,0,4,225.9861
influencer,0.014,0,0,0,0.0
social,105681.0,7206,144,23,105225.0
social,116.7558,836,19,343,22916.5498
jkl,1.257,5,0,0,0.0
influencer,68.9107,1614,42,44,3296.0103
search,1.9204,63,1,0,0.0
search,0.0387,0,0,0,0.0
social,1.636,88,2,0,0.0
search,0.018,0,0,0,0.0
search,1.0042,42,1,0,0.0
influencer,0.0107,0,0,0,0.0
influencer,25.5392,127,3,50,1541.0349
search,0.5252,2,0,3,40.9082
jkl,0.2423,1,0,0,0.0
social,0.5277,10,0,0,0.0
search,2.4032,18,0,14,378.6081
jkl,0.0015,0,0,0,0.0
jkl,0.0171,0,0,0,0.0
search,0.0008,0,0,0,0.0
social,3.0329,23,0,0,0.0
social,0.0009,0,0,0,0.0
influencer,9.1076,351,9,44,3157.2358
social,10.0393,121,3,15,970.3384
jkl,0.0013,0,0,0,0.0
social,2152.37,290,6,1,4353.0
jkl,0.0046,0,0,0,0.0
social,2.9475,171,4,1,157.2738
search,0.0477,1,0,0,0.0
search,0.254,6,0,0,0.0
search,23.0823,130,3,25,1041.7008
,0.0024,0,0,0,0.0
media,750361.0,50408,1678,252,1003210.0
jkl,0.0133,0,0,0,0.0
influencer,80971.4,4508,133,27,215487.0
search,0.067,0,0,0,0.0
jkl,2.6634,71,1,1,6.6645
influencer,9.2522,129,3,10,527.2432
social,0.6084,10,0,4,103.7997
search,0.0263,0,0,0,0.0
jkl,0.1271,4,0,3,38.9838
jkl,0.0179,0,0,0,0.0
social,0.3279,5,0,0,0.0
social,0.5611,32,0,0,0.0
social,0.411,5,0,0,0.0
social,8.1757,94,2,7,768.5861
search,0.5337,0,0,0,0.0
influencer,0.0075,0,0,0,0.0
influencer,0.002,0,0,0,0.0
social,0.6912,18,0,2,32.5101
,0.0008,0,0,0,0.0
social,0.1238,0,0,0,0.0
,0.0136,0,0,0,0.0
jkl,15.7699,247,5,70,3191.464
search,0.5143,2,0,0,0.0
jkl,0.0067,0,0,0,0.0
social,39.5176,293,7,263,12320.9177
search,0.2658,1,0,0,0.0
influencer,0.1037,0,0,0,0.0
jkl,0.0682,0,0,0,0.0
jkl,0.0061,1,0,0,0.0
jkl,0.0094,0,0,0,0.0
jkl,0.0829,4,0,0,0.0
social,0.0007,0,0,0,0.0
jkl,0.0397,0,0,0,0.0
social,0.0731,0,0,0,0.0
jkl,0.1866,3,0,3,136.4103
search,0.0897,0,0,0,0.0
influencer,0.313,0,0,0,0.0
influencer,0.0731,0,0,0,0.0
jkl,0.0059,0,0,0,0.0
social,0.0308,0,0,0,0.0
social,8.061,71,1,15,1453.7489
search,0.0043,22,0,0,0.0
social,0.0337,1,0,0,0.0
jkl,0.0151,0,0,0,0.0
jkl,0.0225,0,0,0,0.0
jkl,0.1361,1,0,0,0.0
jkl,0.0076,0,0,0,0.0
jkl,0.5069,9,0,0,0.0
social,46.0516,2096,56,32,1599.8785
social,2.8484,48,1,9,694.1167
social,0.0303,2,0,0,0.0
search,0.6986,43,1,0,0.0
social,0.0011,0,0,0,0.0
jkl,0.0015,0,0,0,0.0
jkl,0.0058,0,0,0,0.0
jkl,0.3655,7,0,4,161.1421
jkl,0.054,0,0,0,0.0
search,0.1426,13,0,0,0.0
search,1.0586,31,0,10,400.9698
search,0.0141,0,0,0,0.0
search,1.104,9,0,1,34.1221
search,0.1626,9,0,0,0.0
social,0.0027,0,0,0,0.0
search,0.121,1,0,0,0.0
search,0.0001,0,0,0,0.0
search,0.0098,0,0,0,0.0
social,6.6698,71,1,19,1286.6044
search,0.0123,0,0,0,0.0
search,0.2808,7,0,3,21.0133
,0.0026,0,0,0,0.0
jkl,0.0036,0,0,0,0.0
jkl,0.0042,0,0,0,0.0
social,0.0113,9,0,0,0.0
social,2.9648,202,4,1,20.8398
influencer,1.1896,8,0,1,170.716
social,1.3124,130,3,0,0.0
social,94.4203,701,17,413,20420.4931
influencer,2.9469,41,1,3,203.205
jkl,2.2202,11,0,0,0.0
search,0.2305,3,0,1,330.254
jkl,0.0113,0,0,0,0.0
social,0.4572,43,1,0,0.0
social,221.0251,1041,26,429,20607.4022
search,0.1226,2,0,0,0.0
social,16.1451,131,3,13,761.1871
jkl,0.005,0,0,0,0.0
jkl,0.2366,3,0,3,1325.238
jkl,0.405,14,0,1,16.9274
search,1.3206,55,1,0,0.0
search,63.8312,260,6,148,6526.2595
social,0.0475,1,0,0,0.0
influencer,0.0043,0,0,0,0.0
search,1.5896,68,1,0,0.0
social,0.0149,0,0,0,0.0
jkl,0.009,0,0,0,0.0
search,0.2634,5,0,0,0.0
jkl,0.1057,1,0,0,0.0
search,0.0462,6,0,0,0.0
social,384.4477,1624,41,1113,54243.9926
search,0.0197,0,0,0,0.0
jkl,6.5848,111,2,36,2165.1749
influencer,7.1757,82,2,15,965.2843
search,0.2824,2,0,0,0.0
influencer,1.7851,98,2,2,173.8564
social,0.8535,9,0,2,75.3115
search,0.7207,9,0,2,230.7556
search,0.0061,0,0,0,0.0
influencer,0.8861,17,0,0,0.0
social,0.1676,3,0,0,0.0
social,0.5038,31,0,0,0.0
influencer,0.172,1,0,0,0.0
social,97.8815,434,10,305,15154.955
influencer,0.0232,0,0,0,0.0
,0.0034,0,0,0,0.0
social,4.5431,43,1,6,236.7323
social,209.7177,1086,27,413,21749.3223
social,0.7718,13,0,1,179.2669
social,0.0175,2,0,0,0.0
jkl,0.7338,26,0,0,0.0
influencer,6.9824,107,2,0,0.0
search,7.6061,37,0,15,784.2974
search,0.4566,3,0,1,53.8567
social,3.6499,60,1,9,135.6677
jkl,0.0035,0,0,0,0.0
search,3.1877,29,0,2,16.9437
influencer,0.0132,0,0,0,0.0
influencer,0.0576,2,0,0,0.0
jkl,1.4433,14,0,0,0.0
social,0.0539,0,0,0,0.0
jkl,0.0122,0,0,0,0.0
influencer,1.2284,53,1,0,0.0
search,0.0021,0,0,0,0.0
influencer,111.3258,2353,60,1453,65969.4636
influencer,0.0471,0,0,0,0.0
influencer,0.026,0,0,0,0.0
search,0.3519,4,0,0,0.0
influencer,0.0025,0,0,0,0.0
search,28.7436,149,3,35,2734.4018
jkl,0.0213,0,0,0,0.0
influencer,0.9917,9,0,0,0.0
influencer,49.9775,1360,33,28,2236.0747
jkl,0.0117,0,0,0,0.0
search,0.0151,0,0,0,0.0
influencer,17.8738,234,5,25,2891.362
social,0.6093,25,0,0,0.0
social,3.8768,252,5,6,253.8565
social,0.0016,0,0,0,0.0
social,1.8621,18,0,2,399.9568
jkl,0.0227,0,0,0,0.0
jkl,0.0011,0,0,0,0.0
influencer,0.037,2,0,0,0.0
social,3.0391,133,3,4,33.6262
social,1.5488,104,2,0,0.0
influencer,0.4247,2,0,1,45.8757
influencer,0.2402,3,0,0,0.0
influencer,0.1177,1,0,0,0.0
jkl,0.0298,2,0,0,0.0
influencer,0.7467,35,0,0,0.0
jkl,0.0038,0,0,0,0.0
jkl,0.0026,0,0,0,0.0
influencer,1.5072,108,2,3,393.7832
,0.011,0,0,1,121.318
search,0.2221,10,0,0,0.0
influencer,0.667,7,0,0,0.0
social,0.0006,0,0,0,0.0
search,76.9999,442,10,130,7581.738
social,15.5577,139,3,29,1207.2535
influencer,0.3784,14,0,0,0.0
jkl,0.217,4,0,0,0.0
influencer,0.0012,0,0,0,0.0
search,0.0556,0,0,0,0.0
social,131.8571,615,14,397,19598.6266
influencer,9.9332,330,7,48,3074.9174
social,0.0131,0,0,0,0.0
,0.0032,0,0,0,0.0
jkl,0.0054,0,0,0,0.0
jkl,2.2134,45,1,4,191.0635
jkl,0.0131,0,0,0,0.0
search,6426.0,893,18,2,14152.0
jkl,0.0027,0,0,0,0.0
search,1.2966,13,0,0,0.0
jkl,0.2053,2,0,0,0.0
jkl,0.3306,7,0,0,0.0
influencer,6.1951,46,1,4,549.9353
search,0.5654,5,0,2,237.3821
social,0.5045,42,1,0,0.0
search,42.1656,204,5,75,6095.5802
influencer,39.9268,1042,26,300,15802.1014
jkl,0.0201,0,0,0,0.0
search,3.3303,20,0,2,393.7442
influencer,0.0976,0,0,0,0.0
influencer,0.0814,0,0,0,0.0
influencer,3.8375,111,2,1,83.9401
social,0.1535,3,0,0,0.0
,0.0006,0,0,0,0.0
jkl,0.0075,0,0,0,0.0
search,12581.6,1205,24,3,8943.0
influencer,1.0596,10,0,1,167.0795
jkl,0.0003,0,0,0,0.0
social,0.0009,0,0,0,0.0
search,0.1,5,0,4,381.5855
influencer,11.2618,426,10,46,2832.7017
search,9.4,48,1,26,1795.0299
