category,cost,orders
social,6.9842,14
jkl,16.7131,112
search,0.3202,0
jkl,0.3609,0
influencer,0.3694,0
media,34169.9,16
social,0.1559,0
search,0.0198,0
search,0.7523,0
social,10.185,53
influencer,0.1107,0
jkl,0.0047,0
influencer,1.9613,0
search,3.2025,2
social,0.0095,0
search,62.7731,88
search,0.0775,0
social,0.2081,0
media,145201.0,49
,0.016,0
jkl,2.0465,1
social,0.4606,2
jkl,0.0038,0
influencer,0.776,0
social,211.9296,341
jkl,0.0008,0
search,0.085,0
search,12.666,105
jkl,0.3726,0
influencer,0.0146,0
jkl,28.4897,244
jkl,0.0055,0
jkl,0.0171,0
search,0.7253,0
influencer,0.0002,0
influencer,0.013,0
jkl,0.5063,0
social,0.5765,0
search,0.0164,0
jkl,0.1659,0
social,3.7935,2
search,0.4138,0
jkl,0.0873,0
social,1.6746,0
search,3.1232,4
influencer,0.014,0
social,105681.0,23
social,116.7558,343
jkl,1.257,0
influencer,68.9107,44
search,1.9204,0
search,0.0387,0
social,1.636,0
search,0.018,0
search,1.0042,0
influencer,0.0107,0
influencer,25.5392,50
search,0.5252,3
jkl,0.2423,0
social,0.5277,0
search,2.4032,14
jkl,0.0015,0
jkl,0.0171,0
search,0.0008,0
social,3.0329,0
social,0.0009,0
influencer,9.1076,44
social,10.0393,15
jkl,0.0013,0
social,2152.37,1
jkl,0.0046,0
social,2.9475,1
search,0.0477,0
search,0.254,0
search,23.0823,25
,0.0024,0
media,750361.0,252
jkl,0.0133,0
influencer,80971.4,27
search,0.067,0
jkl,2.6634,1
influencer,9.2522,10
social,0.6084,4
search,0.0263,0
jkl,0.1271,3
jkl,0.0179,0
social,0.3279,0
social,0.5611,0
social,0.411,0
social,8.1757,7
search,0.5337,0
influencer,0.0075,0
influencer,0.002,0
social,0.6912,2
,0.0008,0
social,0.1238,0
,0.0136,0
jkl,15.7699,70
search,0.5143,0
jkl,0.0067,0
social,39.5176,263
search,0.2658,0
influencer,0.1037,0
jkl,0.0682,0
jkl,0.0061,0
jkl,0.0094,0
jkl,0.0829,0
social,0.0007,0
jkl,0.0397,0
social,0.0731,0
jkl,0.1866,3
search,0.0897,0
influencer,0.313,0
influencer,0.0731,0
jkl,0.0059,0
social,0.0308,0
social,8.061,15
search,0.0043,0
social,0.0337,0
jkl,0.0151,0
jkl,0.0225,0
jkl,0.1361,0
jkl,0.0076,0
jkl,0.5069,0
social,46.0516,32
social,2.8484,9
social,0.0303,0
search,0.6986,0
social,0.0011,0
jkl,0.0015,0
jkl,0.0058,0
jkl,0.3655,4
jkl,0.054,0
search,0.1426,0
search,1.0586,10
search,0.0141,0
search,1.104,1
search,0.1626,0
social,0.0027,0
search,0.121,0
search,0.0001,0
search,0.0098,0
social,6.6698,19
search,0.0123,0
search,0.2808,3
,0.0026,0
jkl,0.0036,0
jkl,0.0042,0
social,0.0113,0
social,2.9648,1
influencer,1.1896,1
social,1.3124,0
social,94.4203,413
influencer,2.9469,3
jkl,2.2202,0
search,0.2305,1
jkl,0.0113,0
social,0.4572,0
social,221.0251,429
search,0.1226,0
social,16.1451,13
jkl,0.005,0
jkl,0.2366,3
jkl,0.405,1
search,1.3206,0
search,63.8312,148
social,0.0475,0
influencer,0.0043,0
search,1.5896,0
social,0.0149,0
jkl,0.009,0
search,0.2634,0
jkl,0.1057,0
search,0.0462,0
social,384.4477,1113
search,0.0197,0
jkl,6.5848,36
influencer,7.1757,15
search,0.2824,0
influencer,1.7851,2
social,0.8535,2
search,0.7207,2
search,0.0061,0
influencer,0.8861,0
social,0.1676,0
social,0.5038,0
influencer,0.172,0
social,97.8815,305
influencer,0.0232,0
,0.0034,0
social,4.5431,6
social,209.7177,413
social,0.7718,1
social,0.0175,0
jkl,0.7338,0
influencer,6.9824,0
search,7.6061,15
search,0.4566,1
social,3.6499,9
jkl,0.0035,0
search,3.1877,2
influencer,0.0132,0
influencer,0.0576,0
jkl,1.4433,0
social,0.0539,0
jkl,0.0122,0
influencer,1.2284,0
search,0.0021,0
influencer,111.3258,1453
influencer,0.0471,0
influencer,0.026,0
search,0.3519,0
influencer,0.0025,0
search,28.7436,35
jkl,0.0213,0
influencer,0.9917,0
influencer,49.9775,28
jkl,0.0117,0
search,0.0151,0
influencer,17.8738,25
social,0.6093,0
social,3.8768,6
social,0.0016,0
social,1.8621,2
jkl,0.0227,0
jkl,0.0011,0
influencer,0.037,0
social,3.0391,4
social,1.5488,0
influencer,0.4247,1
influencer,0.2402,0
influencer,0.1177,0
jkl,0.0298,0
influencer,0.7467,0
jkl,0.0038,0
jkl,0.0026,0
influencer,1.5072,3
,0.011,1
search,0.2221,0
influencer,0.667,0
social,0.0006,0
search,76.9999,130
social,15.5577,29
influencer,0.3784,0
jkl,0.217,0
influencer,0.0012,0
search,0.0556,0
social,131.8571,397
influencer,9.9332,48
social,0.0131,0
,0.0032,0
jkl,0.0054,0
jkl,2.2134,4
jkl,0.0131,0
search,6426.0,2
jkl,0.0027,0
search,1.2966,0
jkl,0.2053,0
jkl,0.3306,0
influencer,6.1951,4
search,0.5654,2
social,0.5045,0
search,42.1656,75
influencer,39.9268,300
jkl,0.0201,0
search,3.3303,2
influencer,0.0976,0
influencer,0.0814,0
influencer,3.8375,1
social,0.1535,0
,0.0006,0
jkl,0.0075,0
search,12581.6,3
influencer,1.0596,1
jkl,0.0003,0
social,0.0009,0
search,0.1,4
influencer,11.2618,46
search,9.4,26
search,0.0186,0
jkl,0.02,0
search,0.2012,0
search,17.3983,14
social,0.0012,0
influencer,1.7313,6
influencer,6.0305,21
social,3.4543,0
social,85.3372,308
influencer,0.0024,0
search,0.0184,0
influencer,0.0588,0
search,23.5782,31
jkl,0.0008,0
influencer,11.5244,52
social,2.6483,2
influencer,0.0663,0
social,29.8327,16
jkl,0.0345,0
search,0.7858,2
jkl,0.2125,0
jkl,0.0886,13
social,0.0041,0
search,0.2967,0
social,6.1793,5
search,2.1823,0
influencer,0.0021,0
influencer,1.5873,5
search,0.002,0
jkl,0.0003,0
search,34.571,86
influencer,4.6136,4
social,4.8674,27
social,0.0088,0
search,0.1203,0
search,0.0208,0
influencer,0.0008,0
jkl,0.0938,0
social,78.5331,184
search,0.001,0
jkl,0.0006,0
influencer,0.0057,0
search,2.7912,10
,0.0006,0
search,0.3585,0
influencer,0.0012,0
social,0.5661,0
search,0.9696,1
jkl,0.107,0
influencer,1.9475,5
jkl,0.0015,0
influencer,197161.0,95
search,0.1069,0
social,4.8905,1
influencer,0.0526,0
search,0.1738,0
media,25023.2,10
social,0.022,0
influencer,0.0118,0
search,0.0127,0
influencer,0.0324,0
jkl,0.304,0
jkl,0.0026,0
influencer,0.0011,0
influencer,0.0039,0
search,1.34,0
social,404737.0,139
jkl,0.0087,0
social,0.0147,0
search,0.2947,0
influencer,0.2455,0
social,18.548,45
search,0.1655,1
influencer,176.8524,122
