employee_index,country_residence,gender,age,contract_length,new_customer_index,seniority_months,primary_customer_status,customer_type_start_month,customer_relation_type,residence_index,foreigner_index,join_channel,deceased_index,province_name,gross_income,customer_segment,fixed_deposits,loan,credit_card_debit_card,account
N,ES,H,30.0,856.0,0.0,     34,1.0,1.0,I,S,S,KHE,N,CASTELLON,86740.65,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,24.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,CADIZ,113655.87,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,23.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,BADAJOZ,39190.92,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,22.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,BADAJOZ,99056.37,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,23.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,BADAJOZ,86740.65,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,25.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,CADIZ,86740.65,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,24.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,VALENCIA,86740.65,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,23.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,BADAJOZ,120188.76,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,24.0,856.0,0.0,     34,1.0,1.0,A,S,N,KHE,N,"CORUÑA, A",83529.29999999999,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,24.0,856.0,0.0,     34,1.0,1.0,A,S,S,KHE,N,MADRID,224820.69,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,22.0,856.0,0.0,     34,1.0,1.0,A,S,N,KHD,N,OURENSE,100514.16,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,23.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,BADAJOZ,57395.13,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,22.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,CACERES,53400.36,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,23.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,CADIZ,135283.59,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,32.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,CASTELLON,86740.65,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,25.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,MADRID,216035.46,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,27.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,BADAJOZ,121990.62,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,25.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,BADAJOZ,57737.06999999999,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,23.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,SEVILLA,118420.44,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,24.0,856.0,0.0,     34,1.0,1.0,A,S,N,KHE,N,MADRID,44615.46,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,25.0,856.0,0.0,     34,1.0,1.0,A,S,N,KHE,N,CASTELLON,86740.65,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,25.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHD,N,PONTEVEDRA,113650.74,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,27.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,HUELVA,55307.7,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,25.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,CORDOBA,125717.07,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,22.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,ZARAGOZA,128827.56,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,22.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHD,N,LUGO,86740.65,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,23.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,VALLADOLID,137148.06,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,23.0,856.0,0.0,     34,1.0,1.0,I,S,S,KHE,N,MADRID,119158.62,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,24.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,CADIZ,86740.65,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,24.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,BADAJOZ,34204.71,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,25.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,TERUEL,101549.91,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,27.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,HUELVA,60873.45,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,23.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,BADAJOZ,86740.65,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,29.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,ZARAGOZA,30114.090000000004,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,24.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,CADIZ,107120.43,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,25.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,PONTEVEDRA,171894.15000000002,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,23.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,BADAJOZ,105922.98,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,27.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,MADRID,443490.09,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,27.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,MADRID,385890.78,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,33.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,BADAJOZ,56558.73,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,23.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,CASTELLON,46272.03,03 - UNIVERSITARIO,0,0,0,1
