employee_index,country_residence,gender,age,contract_length,new_customer_index,seniority_months,primary_customer_status,customer_type_start_month,customer_relation_type,residence_index,foreigner_index,join_channel,deceased_index,province_name,gross_income,customer_segment,fixed_deposits,loan,credit_card_debit_card,account
N,ES,H,24.0,924.0,0.0,     36,1.0,1.0,I,S,N,KHE,N,BARCELONA,96318.42,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,23.0,924.0,0.0,     36,1.0,1.0,I,S,N,KHE,N,MALAGA,100532.31,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,47.0,924.0,0.0,     36,1.0,1.0,A,S,N,KFC,N,MURCIA,47164.86,02 - PARTICULARES,0,0,0,1
N,ES,V,41.0,924.0,0.0,     36,1.0,1.0,A,S,N,KFC,N,MADRID,122612.82,02 - PARTICULARES,0,0,1,1
N,ES,V,52.0,924.0,0.0,     36,1.0,1.0,A,S,N,KFC,N,"CORUÑA, A",68262.93000000001,01 - TOP,1,0,1,1
N,ES,H,39.0,924.0,0.0,     36,1.0,1.0,I,S,N,KHE,N,MALAGA,70446.12,02 - PARTICULARES,0,0,0,1
N,ES,H,24.0,924.0,0.0,     36,1.0,1.0,I,S,S,KHE,N,MURCIA,47451.24,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,23.0,924.0,0.0,     36,1.0,1.0,I,S,N,KHE,N,PONTEVEDRA,101919.38999999998,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,26.0,924.0,0.0,     36,1.0,1.0,I,S,N,KHE,N,MALAGA,19386.48,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,23.0,924.0,0.0,     36,1.0,1.0,A,S,N,KHE,N,MURCIA,96318.42,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,26.0,924.0,0.0,     36,1.0,1.0,I,S,N,KHE,N,BARCELONA,102460.88999999998,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,25.0,924.0,0.0,     36,1.0,1.0,I,S,N,KHE,N,MURCIA,78755.28,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,24.0,924.0,0.0,     36,1.0,1.0,I,S,S,KHE,N,BARCELONA,119951.52,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,24.0,924.0,0.0,     36,1.0,1.0,I,S,N,KHE,N,LERIDA,119517.42,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,23.0,924.0,0.0,     36,1.0,1.0,A,S,N,KHE,N,"CORUÑA, A",68930.85,03 - UNIVERSITARIO,0,0,1,1
N,ES,H,27.0,924.0,0.0,     36,1.0,1.0,I,S,S,KHE,N,MALAGA,55541.31,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,26.0,924.0,0.0,     36,1.0,1.0,A,S,N,KHE,N,MURCIA,71729.79000000001,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,24.0,924.0,0.0,     36,1.0,1.0,I,S,N,KHE,N,BARCELONA,112906.02,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,23.0,924.0,0.0,     36,1.0,1.0,I,S,N,KHE,N,PONTEVEDRA,76536.95999999999,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,23.0,924.0,0.0,     36,1.0,1.0,A,S,N,KHE,N,BARCELONA,279944.1,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,23.0,924.0,0.0,     36,1.0,1.0,I,S,N,KHE,N,BARCELONA,233973.63,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,30.0,924.0,0.0,     36,1.0,1.0,I,S,N,KHE,N,ASTURIAS,81356.79000000001,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,23.0,924.0,0.0,     36,1.0,1.0,I,S,N,KHE,N,BARCELONA,219105.33,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,23.0,924.0,0.0,     36,1.0,1.0,I,S,N,KHE,N,MURCIA,120428.88,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,24.0,924.0,0.0,     36,1.0,1.0,I,S,N,KHE,N,MURCIA,60298.56,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,25.0,924.0,0.0,     36,1.0,1.0,I,S,N,KHE,N,BARCELONA,87781.77,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,23.0,924.0,0.0,     36,1.0,1.0,A,S,N,KHE,N,MURCIA,96318.42,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,27.0,924.0,0.0,     36,1.0,1.0,I,S,N,KHE,N,CORDOBA,66704.49,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,28.0,924.0,0.0,     36,1.0,1.0,I,S,S,KHE,N,MURCIA,41508.0,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,26.0,924.0,0.0,     36,1.0,1.0,I,S,N,KHE,N,BARCELONA,151462.8,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,23.0,924.0,0.0,     36,1.0,1.0,I,S,N,KHE,N,TARRAGONA,96318.42,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,23.0,924.0,0.0,     36,1.0,1.0,I,S,S,KHE,N,MURCIA,75228.39,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,24.0,924.0,0.0,     36,1.0,1.0,I,S,N,KHE,N,BARCELONA,100696.88999999998,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,23.0,924.0,0.0,     36,1.0,1.0,A,S,N,KHE,N,MALAGA,77564.45999999999,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,26.0,924.0,0.0,     36,1.0,1.0,A,S,N,KHE,N,PONTEVEDRA,109488.93,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,25.0,924.0,0.0,     36,1.0,1.0,I,S,N,KHE,N,MURCIA,96318.42,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,23.0,924.0,0.0,     36,1.0,1.0,A,S,N,KHE,N,MALAGA,132046.91999999998,03 - UNIVERSITARIO,0,0,1,1
N,ES,H,25.0,924.0,0.0,     36,1.0,1.0,I,S,S,KHE,N,MURCIA,59488.44,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,23.0,924.0,0.0,     36,1.0,1.0,I,S,N,KHE,N,BARCELONA,133945.68,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,24.0,924.0,0.0,     36,1.0,1.0,I,S,N,KHE,N,MURCIA,96318.42,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,25.0,924.0,0.0,     36,1.0,1.0,I,S,N,KHE,N,MURCIA,96318.42,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,23.0,924.0,0.0,     36,1.0,1.0,I,S,N,KHE,N,PONTEVEDRA,73559.34,03 - UNIVERSITARIO,0,0,1,1
N,ES,H,23.0,924.0,0.0,     36,1.0,1.0,I,S,N,KHE,N,LERIDA,96318.42,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,26.0,924.0,0.0,     36,1.0,1.0,I,S,N,KHE,N,BARCELONA,332633.61,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,29.0,924.0,0.0,     36,1.0,1.0,I,S,N,KHE,N,MALAGA,49263.93000000001,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,26.0,924.0,0.0,     36,1.0,1.0,I,S,N,KHE,N,BARCELONA,245600.13,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,34.0,924.0,0.0,     36,1.0,1.0,A,S,N,KHE,N,PONTEVEDRA,86351.31,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,23.0,924.0,0.0,     36,1.0,1.0,I,S,N,KHE,N,MALAGA,199700.49,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,59.0,924.0,0.0,     36,1.0,1.0,A,S,N,KHE,N,PONTEVEDRA,86351.31,02 - PARTICULARES,0,0,0,1
N,ES,V,23.0,924.0,0.0,     36,1.0,1.0,I,S,N,KHE,N,TARRAGONA,78961.74,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,23.0,924.0,0.0,     36,1.0,1.0,I,S,N,KHE,N,MALAGA,96318.42,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,25.0,924.0,0.0,     36,1.0,1.0,I,S,N,KHE,N,MALAGA,61313.46,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,23.0,924.0,0.0,     36,1.0,1.0,I,S,N,KHE,N,MALAGA,72224.85,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,23.0,924.0,0.0,     36,1.0,1.0,I,S,N,KHE,N,MALAGA,125383.77,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,23.0,924.0,0.0,     36,1.0,1.0,I,S,N,KHE,N,MALAGA,80619.51,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,55.0,924.0,0.0,     36,1.0,1.0,A,S,N,KHE,N,PONTEVEDRA,60792.69,02 - PARTICULARES,0,0,0,1
N,ES,H,23.0,924.0,0.0,     36,1.0,1.0,I,S,N,KHE,N,GIRONA,113325.54,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,24.0,924.0,0.0,     36,1.0,1.0,I,S,N,KHE,N,MALAGA,78052.44,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,44.0,924.0,0.0,     36,1.0,1.0,A,S,N,KFA,N,MADRID,72967.35,02 - PARTICULARES,0,0,0,1
N,ES,V,23.0,924.0,0.0,     36,1.0,1.0,I,S,N,KHE,N,BARCELONA,78935.13,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,25.0,924.0,0.0,     36,1.0,1.0,I,S,N,KHE,N,MALAGA,96381.27,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,60.0,861.0,0.0,     34,1.0,1.0,A,S,N,KAT,N,MURCIA,93135.51,02 - PARTICULARES,0,0,1,1
N,ES,V,23.0,924.0,0.0,     36,1.0,1.0,I,S,N,KHE,N,BARCELONA,99828.18,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,25.0,924.0,0.0,     36,1.0,1.0,I,S,N,KHE,N,BARCELONA,535520.73,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,40.0,924.0,0.0,     36,1.0,1.0,A,S,N,KAZ,N,MURCIA,96318.42,02 - PARTICULARES,0,0,0,1
N,ES,V,23.0,924.0,0.0,     36,1.0,1.0,I,S,N,KHE,N,BARCELONA,204930.69,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,27.0,924.0,0.0,     36,1.0,1.0,I,S,N,KHE,N,PONTEVEDRA,158422.91999999998,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,24.0,924.0,0.0,     36,1.0,1.0,I,S,N,KHE,N,MALAGA,77829.54000000001,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,23.0,924.0,0.0,     36,1.0,1.0,I,S,N,KHE,N,BARCELONA,135760.91999999998,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,23.0,924.0,0.0,     36,1.0,1.0,A,S,N,KHE,N,PONTEVEDRA,96318.42,03 - UNIVERSITARIO,0,0,0,1
