"fecha_dato","ncodpers","ind_empleado","pais_residencia","sexo","age","fecha_alta","ind_nuevo","antiguedad","indrel","ult_fec_cli_1t","indrel_1mes","tiprel_1mes","indresi","indext","conyuemp","canal_entrada","indfall","tipodom","cod_prov","nomprov","ind_actividad_cliente","renta","segmento","ind_ahor_fin_ult1","ind_aval_fin_ult1","ind_cco_fin_ult1","ind_cder_fin_ult1","ind_cno_fin_ult1","ind_ctju_fin_ult1","ind_ctma_fin_ult1","ind_ctop_fin_ult1","ind_ctpp_fin_ult1","ind_deco_fin_ult1","ind_deme_fin_ult1","ind_dela_fin_ult1","ind_ecue_fin_ult1","ind_fond_fin_ult1","ind_hip_fin_ult1","ind_plan_fin_ult1","ind_pres_fin_ult1","ind_reca_fin_ult1","ind_tjcr_fin_ult1","ind_valo_fin_ult1","ind_viv_fin_ult1","ind_nomina_ult1","ind_nom_pens_ult1","ind_recibo_ult1"
2015-01-28,1065649,N,ES,H, 30,2012-09-24, 0,     34, 1,,1,I,S,S,,KHE,N, 1,12,"CASTELLON", 0,,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0, 0,0
2015-01-28,1065648,N,ES,H, 24,2012-09-24, 0,     34, 1,,1,I,S,N,,KHE,N, 1,11,"CADIZ", 0,113655.87,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0, 0,0
2015-01-28,1065647,N,ES,H, 23,2012-09-24, 0,     34, 1,,1,I,S,N,,KHE,N, 1, 6,"BADAJOZ", 0,39190.92,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0, 0,0
2015-01-28,1065586,N,ES,V, 22,2012-09-24, 0,     34, 1,,1,I,S,N,,KHE,N, 1, 6,"BADAJOZ", 0,99056.37,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0, 0,0
2015-01-28,1065587,N,ES,H, 23,2012-09-24, 0,     34, 1,,1,I,S,N,,KHE,N, 1, 6,"BADAJOZ", 0,,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0, 0,0
2015-01-28,1065588,N,ES,H, 25,2012-09-24, 0,     34, 1,,1,I,S,N,,KHE,N, 1,11,"CADIZ", 0,,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0, 0,0
2015-01-28,1065589,N,ES,H, 24,2012-09-24, 0,     34, 1,,1,I,S,N,,KHE,N, 1,46,"VALENCIA", 0,,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0, 0,0
2015-01-28,1065590,N,ES,V, 23,2012-09-24, 0,     34, 1,,1,I,S,N,,KHE,N, 1, 6,"BADAJOZ", 0,120188.76,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0, 0,0
2015-01-28,1065591,N,ES,H, 24,2012-09-24, 0,     34, 1,,1,A,S,N,,KHE,N, 1,15,"CORUÑA, A", 1,83529.29999999999,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0, 0,0
2015-01-28,1065592,N,ES,V, 24,2012-09-24, 0,     34, 1,,1,A,S,S,,KHE,N, 1,28,"MADRID", 0,224820.69,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0, 0,0
2015-01-28,1065593,N,ES,V, 22,2012-09-24, 0,     34, 1,,1,A,S,N,,KHD,N, 1,32,"OURENSE", 1,100514.16,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0, 0,0
2015-01-28,1065594,N,ES,H, 23,2012-09-24, 0,     34, 1,,1,I,S,N,,KHE,N, 1, 6,"BADAJOZ", 0,57395.13,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0, 0,0
2015-01-28,1065595,N,ES,H, 22,2012-09-24, 0,     34, 1,,1,I,S,N,,KHE,N, 1,10,"CACERES", 0,53400.36,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0, 0,0
2015-01-28,1065596,N,ES,V, 23,2012-09-24, 0,     34, 1,,1,I,S,N,,KHE,N, 1,11,"CADIZ", 1,135283.59,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0, 0,0
2015-01-28,1065597,N,ES,V, 32,2012-09-24, 0,     34, 1,,1,I,S,N,,KHE,N, 1,12,"CASTELLON", 0,,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0, 0,0
2015-01-28,1065598,N,ES,V, 25,2012-09-24, 0,     34, 1,,1,I,S,N,,KHE,N, 1,28,"MADRID", 0,216035.46,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0, 0,0
2015-01-28,1065601,N,ES,H, 27,2012-09-24, 0,     34, 1,,1,I,S,N,,KHE,N, 1, 6,"BADAJOZ", 0,121990.62,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0, 0,0
2015-01-28,1065602,N,ES,H, 25,2012-09-24, 0,     34, 1,,1,I,S,N,,KHE,N, 1, 6,"BADAJOZ", 0,57737.06999999999,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0, 0,0
2015-01-28,1065585,N,ES,H, 23,2012-09-24, 0,     34, 1,,1,I,S,N,,KHE,N, 1,41,"SEVILLA", 0,118420.44,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0, 0,0
2015-01-28,1065603,N,ES,H, 24,2012-09-24, 0,     34, 1,,1,A,S,N,,KHE,N, 1,28,"MADRID", 1,44615.46,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0, 0,0
