"fecha_dato","ncodpers","ind_empleado","pais_residencia","sexo","age","fecha_alta","ind_nuevo","antiguedad","indrel","ult_fec_cli_1t","indrel_1mes","tiprel_1mes","indresi","indext","conyuemp","canal_entrada","indfall","tipodom","cod_prov","nomprov","ind_actividad_cliente","renta","segmento","ind_ahor_fin_ult1","ind_aval_fin_ult1","ind_cco_fin_ult1","ind_cder_fin_ult1","ind_cno_fin_ult1","ind_ctju_fin_ult1","ind_ctma_fin_ult1","ind_ctop_fin_ult1","ind_ctpp_fin_ult1","ind_deco_fin_ult1","ind_deme_fin_ult1","ind_dela_fin_ult1","ind_ecue_fin_ult1","ind_fond_fin_ult1","ind_hip_fin_ult1","ind_plan_fin_ult1","ind_pres_fin_ult1","ind_reca_fin_ult1","ind_tjcr_fin_ult1","ind_valo_fin_ult1","ind_viv_fin_ult1","ind_nomina_ult1","ind_nom_pens_ult1","ind_recibo_ult1"
2015-01-28,1024863,N,ES,H, 24,2012-07-18, 0,     36, 1,,1.0,I,S,N,,KHE,N, 1, 8,"BARCELONA", 0,,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0, 0,0
2015-01-28,1024865,N,ES,V, 23,2012-07-18, 0,     36, 1,,1.0,I,S,N,,KHE,N, 1,29,"MALAGA", 0,100532.31,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0, 0,0
2015-01-28,1024990,N,ES,V, 47,2012-07-18, 0,     36, 1,,1.0,A,S,N,,KFC,N, 1,30,"MURCIA", 1,47164.86,02 - PARTICULARES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 1, 1,0
2015-01-28,1024991,N,ES,V, 41,2012-07-18, 0,     36, 1,,1.0,A,S,N,,KFC,N, 1,28,"MADRID", 1,122612.82,02 - PARTICULARES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0, 0,1
2015-01-28,1024995,N,ES,V, 52,2012-07-18, 0,     36, 1,,1.0,A,S,N,,KFC,N, 1,15,"CORUÑA, A", 1,68262.93000000001,01 - TOP,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0, 0, 0,0
2015-01-28,1025137,N,ES,H, 39,2012-07-18, 0,     36, 1,,1.0,I,S,N,,KHE,N, 1,29,"MALAGA", 0,70446.12,02 - PARTICULARES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0, 0,0
2015-01-28,1025138,N,ES,H, 24,2012-07-18, 0,     36, 1,,1.0,I,S,S,,KHE,N, 1,30,"MURCIA", 0,47451.24,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0, 0,0
2015-01-28,1025139,N,ES,H, 23,2012-07-18, 0,     36, 1,,1.0,I,S,N,,KHE,N, 1,36,"PONTEVEDRA", 0,101919.38999999998,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0, 0,0
2015-01-28,1025140,N,ES,H, 26,2012-07-18, 0,     36, 1,,1.0,I,S,N,,KHE,N, 1,29,"MALAGA", 0,19386.48,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0, 0,0
2015-01-28,1025141,N,ES,H, 23,2012-07-18, 0,     36, 1,,1.0,A,S,N,,KHE,N, 1,30,"MURCIA", 1,,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0, 0,0
