report_date,customer_id,employee_index,country_residence,gender,age,contract_start_date,new_customer_index,seniority_months,primary_customer_status,customer_type_start_month,customer_relation_type,residence_index,foreigner_index,join_channel,deceased_index,province_name,gross_income,customer_segment,fixed_deposits,loan,credit_card_debit_card,account
2015-01-28,1375586,N,ES,H, 35,2015-01-12,0.0,      6,1.0,1.0,A,S,N,KHL,N,MALAGA,87218.1,02 - PARTICULARES,0,0,0,1
2015-01-28,1050611,N,ES,V, 23,2012-08-10,0.0,     35,1.0,1.0,I,S,S,KHE,N,CIUDAD REAL,35548.74,03 - UNIVERSITARIO,0,0,0,1
2015-01-28,1050612,N,ES,V, 23,2012-08-10,0.0,     35,1.0,1.0,I,S,N,KHE,N,CIUDAD REAL,122179.11000000002,03 - UNIVERSITARIO,0,0,0,1
2015-01-28,1050613,N,ES,H, 22,2012-08-10,0.0,     35,1.0,1.0,I,S,N,KHD,N,ZARAGOZA,119775.54,03 - UNIVERSITARIO,1,0,0,0
2015-01-28,1050614,N,ES,V, 23,2012-08-10,0.0,     35,1.0,1.0,A,S,N,KHE,N,ZARAGOZA,,03 - UNIVERSITARIO,0,0,0,1
2015-01-28,1050615,N,ES,H, 23,2012-08-10,0.0,     35,1.0,1.0,I,S,N,KHE,N,TOLEDO,22220.04,03 - UNIVERSITARIO,0,0,0,1
2015-01-28,1050616,N,ES,H, 23,2012-08-10,0.0,     35,1.0,1.0,I,S,N,KHE,N,LEON,295590.36,03 - UNIVERSITARIO,0,0,0,1
2015-01-28,1050617,N,ES,H, 23,2012-08-10,0.0,     35,1.0,1.0,A,S,N,KHE,N,ZARAGOZA,113316.66,03 - UNIVERSITARIO,0,0,0,1
2015-01-28,1050619,N,ES,H, 24,2012-08-10,0.0,     35,1.0,1.0,I,S,N,KHE,N,GIPUZKOA,,03 - UNIVERSITARIO,0,0,0,1
2015-01-28,1050620,N,ES,H, 23,2012-08-10,0.0,     35,1.0,1.0,I,S,N,KHE,N,CACERES,113194.98,03 - UNIVERSITARIO,0,0,0,1
2015-01-28,1050621,N,ES,V, 23,2012-08-10,0.0,     35,1.0,1.0,I,S,N,KHE,N,ZARAGOZA,72575.88,03 - UNIVERSITARIO,0,0,0,1
2015-01-28,1050622,N,ES,H, 23,2012-08-10,0.0,     35,1.0,1.0,I,S,N,KHE,N,GIRONA,,03 - UNIVERSITARIO,0,0,0,1
2015-01-28,1050623,N,ES,H, 23,2012-08-10,0.0,     35,1.0,1.0,A,S,N,KHE,N,ZAMORA,113538.81,03 - UNIVERSITARIO,0,0,0,1
2015-01-28,1050624,N,ES,H, 65,2012-08-10,0.0,     35,1.0,1.0,A,S,N,KHE,N,ZARAGOZA,61605.09,02 - PARTICULARES,0,0,0,1
