category,cost,clicks
social,6.9842,135
jkl,16.7131,188
search,0.3202,16
jkl,0.3609,9
influencer,0.3694,0
media,34169.9,4205
social,0.1559,4
search,0.0198,0
search,0.7523,4
social,10.185,97
influencer,0.1107,1
jkl,0.0047,0
influencer,1.9613,21
search,3.2025,89
social,0.0095,0
search,62.7731,232
search,0.0775,1
social,0.2081,4
media,145201.0,16808
,0.016,0
jkl,2.0465,14
social,0.4606,3
jkl,0.0038,0
influencer,0.776,3
social,211.9296,863
jkl,0.0008,0
search,0.085,3
search,12.666,99
jkl,0.3726,3
influencer,0.0146,1
jkl,28.4897,449
jkl,0.0055,0
jkl,0.0171,0
search,0.7253,21
influencer,0.0002,0
influencer,0.013,0
jkl,0.5063,14
social,0.5765,9
search,0.0164,0
jkl,0.1659,2
social,3.7935,35
search,0.4138,0
jkl,0.0873,7
social,1.6746,95
search,3.1232,26
influencer,0.014,0
social,105681.0,7206
social,116.7558,836
jkl,1.257,5
influencer,68.9107,1614
search,1.9204,63
search,0.0387,0
social,1.636,88
search,0.018,0
search,1.0042,42
influencer,0.0107,0
influencer,25.5392,127
search,0.5252,2
jkl,0.2423,1
social,0.5277,10
search,2.4032,18
jkl,0.0015,0
jkl,0.0171,0
search,0.0008,0
social,3.0329,23
social,0.0009,0
influencer,9.1076,351
social,10.0393,121
jkl,0.0013,0
social,2152.37,290
jkl,0.0046,0
social,2.9475,171
search,0.0477,1
search,0.254,6
search,23.0823,130
,0.0024,0
media,750361.0,50408
jkl,0.0133,0
influencer,80971.4,4508
search,0.067,0
jkl,2.6634,71
influencer,9.2522,129
social,0.6084,10
search,0.0263,0
jkl,0.1271,4
jkl,0.0179,0
social,0.3279,5
social,0.5611,32
social,0.411,5
social,8.1757,94
search,0.5337,0
influencer,0.0075,0
influencer,0.002,0
social,0.6912,18
,0.0008,0
social,0.1238,0
,0.0136,0
jkl,15.7699,247
search,0.5143,2
jkl,0.0067,0
social,39.5176,293
search,0.2658,1
influencer,0.1037,0
jkl,0.0682,0
jkl,0.0061,1
jkl,0.0094,0
jkl,0.0829,4
social,0.0007,0
jkl,0.0397,0
social,0.0731,0
jkl,0.1866,3
search,0.0897,0
influencer,0.313,0
