User,Card,Year,Month,Day,Time,Amount,Use Chip,Merchant Name,Merchant City,Merchant State,Zip,MCC,Errors?,Is Fraud?
1781,1,2003,8,14,17:52,28.40,Swipe Transaction,-2516615805351751726,Bethel Park,PA,15102.0,5812,,No
1457,0,2018,5,25,10:15,41.97,Chip Transaction,9081399188986296173,Toledo,OH,43608.0,5211,,No
252,1,2003,9,5,17:13,-75.00,Swipe Transaction,2027553650310142703,Greenville,SC,29607.0,5541,,No
1329,2,2013,6,22,04:00,58.62,Online Transaction,5805127065224074672,ONLINE,,,7349,Bad Card Number,No
1234,1,2017,3,30,20:52,23.81,Swipe Transaction,4920121588142434942,Fort Wayne,IN,46816.0,5813,,No
1659,3,2017,6,5,13:53,1.19,Chip Transaction,905017182954448527,Cosby,TN,37722.0,5411,,No
932,2,2015,12,15,21:40,45.02,Online Transaction,-6160036380778658394,ONLINE,,,4121,,No
1894,3,2020,2,11,12:13,7.43,Chip Transaction,2299474049981230143,Oklahoma City,OK,73159.0,5921,,No
1309,2,2009,4,18,08:36,100.00,Swipe Transaction,-4282466774399734331,Lebanon,IN,46052.0,4829,,No
408,1,2008,5,15,12:52,89.89,Swipe Transaction,4722913068560264812,Firth,ID,83236.0,5411,,No
1753,4,2017,5,31,09:28,26.41,Chip Transaction,2487010708994324531,Wauconda,IL,60084.0,4121,,No
341,1,2019,5,13,07:55,46.10,Chip Transaction,1799189980464955940,Dallas,TX,75254.0,5499,,No
1267,1,2012,11,2,18:14,102.64,Swipe Transaction,1799189980464955940,Saint Paul,MN,55123.0,5499,,No
782,3,2011,11,29,09:56,31.14,Swipe Transaction,-2990785434825198901,Stamford,CT,6906.0,4121,,No
1764,2,2010,10,1,10:26,34.64,Swipe Transaction,4722913068560264812,Vincentown,NJ,8088.0,5411,,No
1833,0,2018,10,7,08:21,16.68,Chip Transaction,-6869702536763815921,Las Cruces,NM,88005.0,7210,,No
685,0,2010,1,13,09:42,61.14,Swipe Transaction,1441305991508675449,Tooele,UT,84074.0,5192,,No
1150,0,2007,5,21,17:57,54.00,Swipe Transaction,-5162038175624867091,New York,NY,10128.0,5541,,No
111,2,2008,6,19,10:10,12.40,Swipe Transaction,-6871292393993662454,Novi,MI,48375.0,5812,,No
302,1,2016,7,8,12:07,11.37,Chip Transaction,7717828252193004476,Manassas,VA,20110.0,5411,,No
1816,0,2011,2,13,12:40,42.44,Swipe Transaction,6759623715801000040,Millville,NJ,8332.0,5311,,No
1471,0,2018,1,8,18:27,5.61,Swipe Transaction,-6035332392926029059,Piney Flats,TN,37686.0,5812,,No
831,1,1999,9,5,08:54,232.06,Swipe Transaction,-7408171267568317282,Lake Hopatcong,NJ,7849.0,5932,,No
814,3,2009,10,14,06:36,23.06,Swipe Transaction,4722913068560264812,Saint Louis,MO,63116.0,5411,,No
958,0,2009,10,11,12:40,87.00,Swipe Transaction,-1288082279022882052,Scarborough,ME,4074.0,5499,,No
47,0,2013,2,21,07:33,25.97,Online Transaction,31551052261259716,ONLINE,,,4784,,No
928,3,2015,2,23,20:56,48.34,Swipe Transaction,-4500542936415012428,Chesterfield,VA,23832.0,5814,,No
162,0,2012,3,5,16:25,17.52,Online Transaction,7035602569409149834,ONLINE,,,5311,,No
1357,7,2014,1,13,17:53,1.67,Swipe Transaction,6666504894937430109,Weatherford,TX,76086.0,5499,,No
73,1,2008,9,2,09:45,0.72,Swipe Transaction,-4752064311331295725,Plainfield,IL,60544.0,4214,,No
1080,0,2001,3,4,13:46,45.88,Swipe Transaction,4722913068560264812,Merritt Island,FL,32953.0,5411,,No
841,3,2009,2,14,00:12,71.72,Swipe Transaction,-4981312106917351202,Columbus,OH,43228.0,5300,,No
615,5,2019,8,4,16:58,48.10,Chip Transaction,-5162038175624867091,Lakewood,NJ,8701.0,5541,,No
87,1,2013,5,5,18:44,-100.00,Swipe Transaction,2027553650310142703,Lancaster,OH,43130.0,5541,,No
1178,1,2000,3,26,10:11,85.51,Swipe Transaction,1913477460590765860,Kent,OH,44240.0,5300,,No
1832,3,2012,2,15,10:04,79.18,Swipe Transaction,4722913068560264812,Hot Springs National Park,AR,71913.0,5411,,No
657,0,2007,2,10,17:59,84.00,Swipe Transaction,-5162038175624867091,Fayetteville,NC,28314.0,5541,,No
799,6,2013,7,15,09:41,4.42,Swipe Transaction,-727612092139916043,North Hollywood,CA,91605.0,5411,,No
1743,0,2020,1,20,16:07,80.00,Chip Transaction,-4282466774399734331,Sacramento,CA,95823.0,4829,,No
1038,0,2018,10,8,18:00,65.72,Chip Transaction,-5467922351692495955,Bessemer,AL,35023.0,5912,,No
368,0,2008,3,14,06:29,183.95,Swipe Transaction,2027553650310142703,Severn,MD,21144.0,5541,,No
1842,1,2013,12,2,13:26,14.07,Swipe Transaction,4722913068560264812,Grand Rapids,MI,49525.0,5411,,No
574,0,2004,1,1,18:07,118.41,Swipe Transaction,8040197747526303013,Somerville,MA,2143.0,7538,,No
1592,0,2014,3,5,05:08,86.17,Swipe Transaction,-3265393771034041288,Roebuck,SC,29376.0,5300,,No
1730,0,2007,5,5,06:30,16.64,Swipe Transaction,-5467922351692495955,Milpitas,CA,95035.0,5912,,No
1182,0,2018,1,3,11:26,14.77,Chip Transaction,-245178307025547046,Archer,FL,32618.0,5311,,No
1639,0,2017,6,2,07:46,19.01,Chip Transaction,1139640404793641563,Olympia,WA,98516.0,5541,,No
98,0,2002,7,19,13:02,0.91,Swipe Transaction,6666504894937430109,Hollywood,FL,33024.0,5499,,No
31,2,2018,8,18,22:18,27.12,Chip Transaction,-7146670748125200898,Miami,FL,33175.0,5970,,No
1764,2,2017,3,2,19:06,65.13,Chip Transaction,308588203962279508,Vincentown,NJ,8088.0,5193,,No
1781,0,2016,1,24,10:47,40.36,Chip Transaction,5817218446178736267,Hickory,NC,28602.0,5912,,No
976,1,2004,3,12,23:48,461.02,Swipe Transaction,-6406662083475903219,Muskogee,OK,74403.0,3390,,No
1471,0,2020,1,11,20:02,45.01,Chip Transaction,-4693979874497918566,Piney Flats,TN,37686.0,7538,,No
182,0,2013,11,5,10:50,8.30,Online Transaction,-2088492411650162548,ONLINE,,,4784,,No
1222,2,2017,1,5,05:37,3.43,Chip Transaction,-8573540463624956902,Shelbyville,IN,46176.0,5812,,No
880,0,2019,10,13,06:01,35.95,Chip Transaction,-2922437771826463848,Durham,NC,27713.0,5912,,No
1657,3,2017,2,10,20:51,70.99,Chip Transaction,-1406041973474763930,Hallandale,FL,33009.0,7802,,No
1592,0,2017,11,14,14:34,80.00,Chip Transaction,-4282466774399734331,Simpsonville,SC,29681.0,4829,,No
283,2,2013,5,13,10:58,0.36,Swipe Transaction,-6571010470072147219,Pompano Beach,FL,33076.0,5499,,No
1097,0,2018,11,28,09:27,3.92,Chip Transaction,-5475680618560174533,Eagle Pass,TX,78853.0,5942,,No
223,2,2006,1,24,12:23,58.41,Swipe Transaction,-5401953891366957779,Honey Brook,PA,19344.0,5651,,No
1327,8,2018,11,7,20:03,2.95,Chip Transaction,-6761066196029841443,Tucson,AZ,85711.0,5310,,No
188,2,2011,8,6,08:30,4.59,Swipe Transaction,5427095414889712052,Indianapolis,IN,46259.0,5814,,No
1783,0,2017,3,9,15:40,27.96,Chip Transaction,1799189980464955940,Houston,TX,77068.0,5499,,No
283,1,2015,7,22,14:24,0.36,Chip Transaction,-6571010470072147219,Pompano Beach,FL,33076.0,5499,,No
473,2,2016,11,22,12:24,-64.00,Chip Transaction,-1288082279022882052,Prairieville,LA,70769.0,5499,,No
822,5,2019,4,17,08:01,17.31,Chip Transaction,-6035332392926029059,East Aurora,NY,14052.0,5812,,No
390,4,2004,6,21,20:50,52.19,Swipe Transaction,6676652682733169717,Richmond,CA,94804.0,5300,,No
559,3,2012,1,13,07:57,67.82,Swipe Transaction,4081535247279879452,Hampden,ME,4444.0,5541,,No
1789,2,2019,9,18,14:31,60.87,Chip Transaction,1917517617315869134,Lake Orion,MI,48359.0,5499,,No
1169,5,2009,2,8,15:57,2.20,Swipe Transaction,-6571010470072147219,New Windsor,NY,12553.0,5499,,No
799,1,2018,9,27,16:00,8.78,Chip Transaction,1076525597241558530,North Hollywood,CA,91605.0,5912,,No
934,0,2008,2,16,09:54,12.91,Swipe Transaction,4722913068560264812,Maywood,IL,60153.0,5411,,No
1374,0,2015,12,5,07:54,31.65,Online Transaction,-5841929396161652653,ONLINE,,,4121,,No
413,1,2011,7,6,15:18,140.00,Swipe Transaction,-4282466774399734331,Vancouver,WA,98661.0,4829,,No
815,0,2019,1,13,17:14,42.74,Online Transaction,-2088492411650162548,ONLINE,,,4784,,No
1043,2,2020,2,22,09:33,0.48,Chip Transaction,-8798331441203866966,Lakewood,NJ,8701.0,5411,,No
553,3,2005,10,14,14:15,65.61,Swipe Transaction,8438446124682714015,Orlando,FL,32803.0,5541,,No
935,0,2016,8,11,22:12,82.83,Chip Transaction,5205099864768539121,Alsip,IL,60803.0,5812,,No
1000,0,2020,1,30,16:30,74.33,Swipe Transaction,1913477460590765860,Dallas,TX,75230.0,5300,,No
1891,2,2017,4,22,10:49,179.79,Online Transaction,4241336128694185533,ONLINE,,,4814,,No
333,3,2015,8,2,01:39,3.26,Chip Transaction,-5475680618560174533,Baton Rouge,LA,70805.0,5942,,No
69,0,2010,8,10,12:04,-91.00,Swipe Transaction,-1288082279022882052,Denver,CO,80216.0,5499,,No
983,0,2010,1,1,16:12,2.57,Swipe Transaction,-6571010470072147219,Ewa Beach,HI,96706.0,5499,,No
1415,0,2006,4,7,13:12,6.10,Swipe Transaction,-4530600671233798827,La Crescenta,CA,91214.0,5812,,No
22,0,2016,6,11,21:19,49.19,Swipe Transaction,838425044734233142,Cleveland,OH,44143.0,4814,,No
1297,0,2002,9,1,14:47,9.76,Swipe Transaction,-6660017570630155760,Springfield,OH,45506.0,5921,,No
23,0,2008,4,14,15:03,80.00,Swipe Transaction,1799189980464955940,Wilson,AR,72395.0,5499,,No
1668,1,2013,4,30,13:17,14.74,Swipe Transaction,-9026156159047810326,North Wales,PA,19454.0,5812,,No
65,2,2013,7,14,19:49,69.22,Swipe Transaction,4751695835751691036,Kirkwood,PA,17536.0,5814,,No
1378,2,2006,3,25,23:28,133.58,Swipe Transaction,2027553650310142703,Wichita,KS,67212.0,5541,,No
1487,5,2013,10,16,09:26,69.78,Swipe Transaction,1799189980464955940,Henrico,VA,23228.0,5499,,No
1724,0,2017,8,5,09:36,109.15,Chip Transaction,9057735476014445185,San Jose,CA,95134.0,5311,,No
521,1,2008,2,12,06:57,2.12,Swipe Transaction,-8672976524240512027,Garden Grove,CA,92840.0,5411,,No
109,1,2012,12,27,10:38,0.57,Swipe Transaction,-6571010470072147219,Dyer,IN,46311.0,5499,,No
201,1,2013,10,23,15:04,29.59,Swipe Transaction,-5467922351692495955,Fort Worth,TX,76107.0,5912,,No
362,1,2016,2,15,13:04,7.24,Chip Transaction,6038452594854956200,Ainsworth,IA,52201.0,5912,,No
883,1,2019,2,16,08:05,4.29,Chip Transaction,508427295542009365,Kirkland,WA,98033.0,5812,,No
112,0,2012,11,9,06:54,91.67,Swipe Transaction,-7280900542879975826,Westminster,CO,80030.0,4111,,No
970,2,2015,10,6,18:38,40.96,Chip Transaction,-1496088021539966861,Garner,NC,27529.0,7230,,No
1868,1,2012,11,3,06:04,15.98,Swipe Transaction,5452734709308013362,Dallas,TX,75206.0,5411,,No
787,0,2000,5,24,14:47,24.45,Swipe Transaction,-7016888828590848447,Paragould,AR,72450.0,7538,,No
1956,0,2009,9,3,12:23,-78.00,Swipe Transaction,2027553650310142703,Menasha,WI,54952.0,5541,,No
1716,2,2015,10,17,17:33,70.04,Online Transaction,5319358629056375890,ONLINE,,,4900,,No
1865,3,2014,12,2,07:36,15.66,Swipe Transaction,4722913068560264812,Battle Ground,IN,47920.0,5411,,No
1334,0,2014,4,13,22:28,223.48,Swipe Transaction,7236385660430535249,Lakeville,MN,55044.0,8011,,No
745,1,2017,4,19,11:00,66.06,Swipe Transaction,3058254126555909430,Bethesda,MD,20814.0,7230,,No
1079,1,2018,1,17,10:05,24.88,Online Transaction,-2088492411650162548,ONLINE,,,4784,,No
1477,2,2015,7,15,05:21,1.13,Chip Transaction,6666504894937430109,Belfair,WA,98528.0,5499,,No
937,1,2011,11,2,16:21,7.91,Swipe Transaction,97032797689821735,Reedley,CA,93654.0,5411,,No
331,1,2005,2,21,11:07,54.71,Swipe Transaction,-4693979874497918566,Houston,TX,77064.0,7538,,No
233,2,2005,7,31,12:05,18.32,Swipe Transaction,-6309171119900798769,Yonkers,NY,10705.0,5812,,No
134,4,2016,3,2,10:54,0.63,Chip Transaction,97032797689821735,Chandler,TX,75758.0,5411,,No
648,0,2013,1,1,08:52,47.37,Swipe Transaction,2763794886554617225,Charleston,WV,25312.0,5912,,No
972,2,2017,9,1,07:59,-58.00,Chip Transaction,2027553650310142703,Plano,TX,75023.0,5541,,No
1708,1,2003,6,30,21:35,37.90,Swipe Transaction,-4500542936415012428,Old Saybrook,CT,6475.0,5814,,No
615,0,2015,8,12,16:35,-63.00,Chip Transaction,-5162038175624867091,Lakewood,NJ,8701.0,5541,,No
654,0,2009,3,20,19:45,14.83,Swipe Transaction,-8241109315062258674,Sammamish,WA,98075.0,5812,,No
320,3,2018,4,16,19:57,70.93,Swipe Transaction,-2744911404133435018,Brownwood,TX,76801.0,5812,,No
1624,1,2011,8,3,15:31,9.46,Online Transaction,-5841929396161652653,ONLINE,,,4121,,No
159,0,2012,3,21,12:31,13.81,Online Transaction,-2088492411650162548,ONLINE,,,4784,,No
989,0,2019,6,17,08:51,3.40,Chip Transaction,-5162038175624867091,Grand Rapids,MI,49548.0,5541,,No
509,1,2015,8,5,07:56,105.89,Swipe Transaction,1913477460590765860,Germantown,MD,20875.0,5300,,No
700,1,2011,9,27,14:47,58.11,Swipe Transaction,97032797689821735,Orlando,FL,32817.0,5411,,No
1488,1,2017,8,8,05:57,12.25,Chip Transaction,-9117918250333023686,Appleton,WI,54913.0,5300,,No
547,0,2018,3,31,09:12,63.08,Chip Transaction,-3593327502806579349,Terre Haute,IN,47803.0,7538,,No
1940,0,2018,5,25,13:09,14.98,Swipe Transaction,-5162038175624867091,Renton,WA,98059.0,5541,,No
1158,1,2019,7,11,08:52,25.07,Chip Transaction,-4441274340174506081,Aurora,CO,80013.0,5411,,No
288,7,2017,11,6,07:51,46.97,Chip Transaction,6424484299283339011,Millington,TN,38053.0,7230,,No
75,2,2012,10,27,13:40,2.17,Swipe Transaction,-6329017592391099415,Birmingham,AL,35211.0,5411,,No
1733,0,2008,7,30,11:35,7.65,Swipe Transaction,4722913068560264812,Aurora,IL,60505.0,5411,,No
258,0,2019,12,11,17:29,80.00,Chip Transaction,-4282466774399734331,Berlin,NH,3570.0,4829,,No
1897,0,2005,2,3,14:56,-84.00,Swipe Transaction,2027553650310142703,Boulder,CO,80301.0,5541,,No
914,7,2017,2,11,04:48,41.64,Chip Transaction,-5467922351692495955,Brandon,MS,39042.0,5912,,No
73,6,2007,7,31,04:15,86.12,Swipe Transaction,6759623715801000040,Aurora,IL,60505.0,5311,,No
303,0,2020,1,17,13:29,19.77,Chip Transaction,-727612092139916043,Happy Valley,OR,97086.0,5411,,No
990,3,2017,7,8,16:01,181.74,Swipe Transaction,-2262173591537586096,Highlands,NC,28741.0,8049,,No
887,4,2013,3,1,21:35,31.88,Swipe Transaction,-3265671264153192329,Glenview,IL,60025.0,7832,,No
1443,1,2015,1,25,21:18,1.12,Chip Transaction,5220552136456346690,Grand Rapids,MI,49534.0,5411,,No
1601,1,2015,10,29,20:45,0.83,Chip Transaction,-7682484554035095103,Fayetteville,NC,28312.0,5921,,No
281,1,2012,2,19,12:49,61.35,Swipe Transaction,3397452747792109772,Grand Junction,CO,81506.0,5541,,No
805,2,2012,1,6,07:58,2.81,Swipe Transaction,-1046622217034093949,Philadelphia,PA,19145.0,5812,,No
1725,1,2008,5,27,17:09,19.23,Swipe Transaction,-7570933440321038388,Wichita,KS,67212.0,7230,,No
1428,0,2018,6,27,11:25,36.52,Chip Transaction,8579100285273122294,Windsor,CO,80550.0,5310,,No
1657,1,2013,6,2,21:13,39.50,Swipe Transaction,310810032486371359,Valley Center,CA,92082.0,5813,,No
829,2,2010,12,28,21:40,21.96,Online Transaction,337495195680863518,ONLINE,,,7801,,No
462,2,2012,8,11,09:07,64.04,Swipe Transaction,2027553650310142703,Derby,KS,67037.0,5541,,No
907,2,2010,2,10,07:17,28.78,Swipe Transaction,3952145593743244256,Orlando,FL,32820.0,7538,,No
1990,2,2017,11,17,07:03,43.51,Chip Transaction,-1987448726228862803,Bienville,LA,71008.0,5211,,No
